Project Code,Database,Dealer,Cloud Partner,Training Provided,tenure,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn
4929-XIHVW,Common,1,Yes,No,2,Yes,Cabinetry,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,DFM,0,Yes,Yes,27,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,No,No,AMC,No,Mailed check,66.15,1874.45,No
7310-EGVHZ,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,Common,1,No,No,1,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,DFM,0,Yes,Yes,72,Yes,Appliance,North America,Yes,Yes,No,Yes,Yes,No,Fixed Price,No,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,Common,0,No,No,5,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.7,316.9,Yes
6572-ADKRS,DFM,0,No,No,46,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,Common,0,No,No,34,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,106.35,3549.25,Yes
8168-UQWWF,DFM,0,No,No,11,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),97.85,1105.4,Yes
8865-TNMNX,Common,0,Yes,Yes,10,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,AMC,No,Mailed check,49.55,475.7,No
9489-DEDVP,DFM,0,Yes,Yes,70,Yes,Appliance,ROAP,Yes,Yes,No,No,Yes,No,Fixed Price,Yes,Credit card (automatic),69.2,4872.35,No
9867-JCZSP,DFM,0,Yes,Yes,17,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.75,418.25,No
4671-VJLCL,DFM,0,No,No,63,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,No,Fixed Price,Yes,Credit card (automatic),79.85,4861.45,No
4080-IIARD,DFM,0,Yes,No,13,Yes,Appliance,ROAP,Yes,Yes,No,Yes,Yes,No,T&M,Yes,Electronic check,76.2,981.45,No
3714-NTNFO,DFM,0,No,No,49,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,84.5,3906.7,No
5948-UJZLF,Common,0,No,No,2,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,T&M,No,Mailed check,49.25,97,No
7760-OYPDY,DFM,0,No,No,2,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,80.65,144.15,Yes
7639-LIAYI,Common,0,No,No,52,Yes,Appliance,ROAP,Yes,No,No,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,DFM,0,Yes,Yes,69,Yes,Appliance,ROAP,Yes,No,Yes,Yes,No,No,Fixed Price,Yes,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,DFM,1,No,No,43,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Electronic check,90.25,3838.75,No
9420-LOJKX,DFM,0,No,No,15,Yes,Cabinetry,North America,Yes,Yes,No,No,Yes,Yes,T&M,Yes,Credit card (automatic),99.1,1426.4,Yes
6575-SUVOI,DFM,1,Yes,No,25,Yes,Appliance,ROAP,Yes,No,No,Yes,Yes,No,T&M,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,DFM,1,Yes,No,8,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,DFM,1,Yes,Yes,60,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,No,Yes,AMC,Yes,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,Common,1,No,No,18,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,95.45,1752.55,Yes
8769-KKTPH,DFM,0,Yes,Yes,63,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,AMC,Yes,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,Common,1,Yes,Yes,66,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,AMC,Yes,Electronic check,108.45,7076.35,No
3957-SQXML,DFM,0,Yes,Yes,34,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),24.95,894.3,No
5954-BDFSG,DFM,0,No,No,72,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),107.5,7853.7,No
0434-CSFON,DFM,0,Yes,No,47,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,100.5,4707.1,No
1215-FIGMP,Common,0,No,No,60,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Bank transfer (automatic),89.9,5450.7,No
0526-SXDJP,Common,0,Yes,No,72,No,Countertop,ROAP,Yes,Yes,Yes,No,No,No,Fixed Price,No,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,DFM,0,Yes,Yes,18,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,No,AMC,Yes,Credit card (automatic),54.4,957.1,No
5698-BQJOH,DFM,0,No,No,9,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,No,Electronic check,94.4,857.25,Yes
5122-CYFXA,DFM,0,No,No,3,Yes,Cabinetry,ROAP,No,Yes,No,Yes,Yes,Yes,T&M,Yes,Electronic check,75.3,244.1,No
8627-ZYGSZ,Common,0,Yes,No,47,Yes,Appliance,North America,No,Yes,No,No,No,No,AMC,Yes,Electronic check,78.9,3650.35,No
3410-YOQBQ,DFM,0,No,No,31,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Mailed check,79.2,2497.2,No
3170-NMYVV,DFM,0,Yes,Yes,50,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,Common,0,No,No,10,Yes,Cabinetry,North America,Yes,No,Yes,No,No,No,T&M,Yes,Mailed check,79.85,887.35,No
2273-QCKXA,Common,0,No,No,1,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,T&M,No,Mailed check,49.05,49.05,No
0731-EBJQB,DFM,0,Yes,Yes,52,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Electronic check,20.4,1090.65,No
1891-QRQSA,Common,1,Yes,Yes,64,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,Common,0,Yes,Yes,62,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),24.25,1424.6,No
5630-AHZIL,DFM,0,No,Yes,3,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,Yes,T&M,Yes,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,DFM,1,No,No,56,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,AMC,No,Electronic check,110.5,6139.5,No
6416-JNVRK,DFM,0,No,No,46,Yes,Cabinetry,ROAP,No,No,No,No,No,Yes,AMC,No,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,DFM,0,Yes,Yes,8,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,No,Mailed check,54.65,482.25,No
0191-ZHSKZ,Common,1,No,No,30,Yes,Cabinetry,ROAP,Yes,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,74.75,2111.3,No
3887-PBQAO,DFM,0,Yes,Yes,45,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,DFM,0,No,Yes,1,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,79.35,79.35,Yes
8108-UXRQN,DFM,0,Yes,Yes,11,No,Countertop,ROAP,Yes,No,No,No,Yes,Yes,T&M,No,Electronic check,50.55,565.35,No
9191-MYQKX,DFM,0,Yes,No,7,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,DFM,0,No,No,42,Yes,Cabinetry,North America,No,Yes,Yes,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,DFM,0,Yes,No,49,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMU,Common,0,No,No,9,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Credit card (automatic),99.3,918.75,No
4808-YNLEU,DFM,0,Yes,No,35,Yes,Cabinetry,ROAP,Yes,No,No,No,Yes,No,AMC,Yes,Bank transfer (automatic),62.15,2215.45,No
1862-QRWPE,DFM,0,Yes,Yes,48,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.65,1057,No
2796-NNUFI,DFM,0,Yes,Yes,46,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,19.95,927.1,No
3016-KSVCP,Common,0,Yes,No,29,No,Countertop,ROAP,No,No,No,No,Yes,No,T&M,No,Mailed check,33.75,1009.25,No
4767-HZZHQ,Common,0,Yes,Yes,30,Yes,Cabinetry,North America,No,Yes,Yes,No,No,No,T&M,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Common,1,No,No,1,Yes,Cabinetry,North America,No,No,No,Yes,No,No,T&M,No,Electronic check,74.7,74.7,No
7233-PAHHL,Common,0,Yes,Yes,66,Yes,Appliance,ROAP,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Mailed check,84,5714.25,No
6067-NGCEU,DFM,0,No,No,65,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),111.05,7107,No
9848-JQJTX,Common,0,No,No,72,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,DFM,0,No,No,12,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,Yes,Electronic check,78.95,927.35,Yes
9803-FTJCG,Common,0,Yes,Yes,71,Yes,Appliance,ROAP,Yes,Yes,No,Yes,No,No,AMC,Yes,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,Common,0,No,No,5,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,21.05,113.85,Yes
3212-KXOCR,Common,0,No,No,52,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),21,1107.2,No
4598-XLKNJ,DFM,1,Yes,No,25,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,98.5,2514.5,Yes
6380-ARCEH,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.2,20.2,No
3679-XASPY,DFM,0,Yes,Yes,1,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Electronic check,19.45,19.45,No
7123-WQUHX,Common,0,No,No,38,Yes,Appliance,North America,No,No,Yes,Yes,Yes,No,AMC,No,Bank transfer (automatic),95,3605.6,No
5386-THSLQ,DFM,1,Yes,No,66,No,Countertop,ROAP,No,Yes,Yes,No,Yes,No,AMC,No,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,Common,0,Yes,No,68,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),110,7611.85,Yes
6180-YBIQI,Common,0,No,No,5,No,Countertop,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,24.3,100.2,No
6728-DKUCO,DFM,0,Yes,Yes,72,Yes,Appliance,North America,Yes,Yes,No,No,Yes,Yes,AMC,Yes,Electronic check,104.15,7303.05,No
9750-BOOHV,DFM,0,No,No,32,No,Countertop,ROAP,Yes,No,No,No,No,No,AMC,No,Mailed check,30.15,927.65,No
8597-CWYHH,Common,0,No,No,43,Yes,Appliance,North America,No,No,No,No,Yes,Yes,AMC,No,Mailed check,94.35,3921.3,No
2848-YXSMW,Common,0,Yes,Yes,72,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.4,1363.25,No
0486-HECZI,Common,0,Yes,No,55,Yes,Appliance,North America,Yes,Yes,No,No,Yes,No,T&M,Yes,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,DFM,0,No,No,52,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,No,No,AMC,No,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,DFM,0,No,No,43,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,No,T&M,Yes,Electronic check,91.65,3954.1,No
4846-WHAFZ,DFM,1,Yes,No,37,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,76.5,2868.15,Yes
5256-SKJGO,DFM,0,Yes,Yes,64,No,Countertop,ROAP,No,Yes,No,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,54.6,3423.5,No
3071-VBYPO,Common,0,Yes,Yes,3,Yes,Cabinetry,North America,Yes,Yes,No,No,Yes,No,T&M,No,Electronic check,89.85,248.4,No
9560-BBZXK,DFM,0,No,No,36,No,Countertop,ROAP,Yes,No,No,No,No,No,Fixed Price,No,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,DFM,0,Yes,Yes,10,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,Yes,Electronic check,100.25,1064.65,Yes
8402-OOOHJ,DFM,0,No,No,41,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.65,835.15,No
9445-ZUEQE,Common,0,Yes,Yes,27,Yes,Appliance,North America,No,Yes,No,Yes,No,No,T&M,Yes,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,DFM,0,Yes,Yes,56,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,AMC,Yes,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,DFM,0,No,No,6,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.7,112.75,No
0404-SWRVG,Common,0,No,No,3,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.4,229.55,Yes
6497-TILVL,DFM,0,Yes,Yes,7,Yes,Cabinetry,ROAP,Yes,No,No,No,No,No,T&M,No,Mailed check,50.7,350.35,No
7219-TLZHO,DFM,0,Yes,Yes,4,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.85,62.9,No
4622-YNKIJ,Common,0,No,No,33,Yes,Cabinetry,North America,Yes,No,No,Yes,Yes,No,Fixed Price,Yes,Electronic check,88.95,3027.65,No
4412-YLTKF,DFM,1,No,No,27,Yes,Appliance,North America,No,No,Yes,No,No,No,T&M,Yes,Electronic check,78.05,2135.5,Yes
6734-PSBAW,Common,0,Yes,No,72,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.75,19.75,No
2639-UGMAZ,Common,1,No,No,71,No,Countertop,ROAP,Yes,Yes,No,No,Yes,Yes,AMC,Yes,Electronic check,56.45,3985.35,No
2876-GZYZC,DFM,0,No,No,13,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,85.95,1215.65,No
6207-WIOLX,DFM,0,Yes,Yes,25,No,Countertop,ROAP,Yes,Yes,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,Common,0,No,No,67,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,Fixed Price,No,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,Common,0,No,No,1,No,Countertop,ROAP,No,No,No,No,No,Yes,T&M,Yes,Electronic check,35.45,35.45,Yes
2372-HWUHI,Common,0,No,No,2,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Electronic check,44.35,81.25,Yes
7799-LGRDP,DFM,0,No,No,43,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,DFM,0,No,No,23,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),75,1778.5,No
3774-VBNXY,DFM,0,Yes,Yes,64,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.2,1277.75,No
6217-KDYWC,Common,0,No,Yes,57,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,19.6,1170.55,No
0390-DCFDQ,DFM,1,Yes,No,1,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,70.45,70.45,Yes
3146-MSEGF,DFM,1,Yes,Yes,72,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,DFM,0,No,No,8,Yes,Appliance,ROAP,Yes,No,No,Yes,No,Yes,T&M,No,Electronic check,71.15,563.65,Yes
1095-WGNGG,DFM,0,Yes,No,61,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,Common,0,No,No,64,Yes,Appliance,North America,Yes,Yes,No,No,No,No,AMC,Yes,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,Common,1,Yes,No,71,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,DFM,0,Yes,Yes,65,Yes,Appliance,North America,Yes,Yes,No,Yes,Yes,No,Fixed Price,Yes,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,Common,0,No,No,3,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,19.6,61.35,No
2135-RXIHG,Common,0,No,No,1,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Electronic check,45.65,45.65,Yes
6440-DKQGE,Common,0,No,Yes,30,Yes,Cabinetry,ROAP,No,Yes,Yes,No,Yes,No,AMC,No,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,Common,0,Yes,Yes,15,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,No,Yes,T&M,Yes,Mailed check,69.5,1071.4,No
3780-YVMFA,DFM,0,Yes,Yes,8,Yes,Cabinetry,ROAP,No,No,No,Yes,Yes,Yes,T&M,Yes,Electronic check,68.55,564.35,No
3874-EQOEP,Common,0,No,No,7,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,No,Mailed check,95,655.5,Yes
1679-JRFBR,DFM,0,Yes,Yes,70,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,AMC,Yes,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,Common,0,Yes,Yes,62,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,86.1,5215.25,No
3077-RSNTJ,DFM,0,Yes,Yes,6,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.7,113.5,No
6551-GNYDG,DFM,0,Yes,Yes,14,Yes,Cabinetry,North America,No,No,No,No,No,Yes,T&M,Yes,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,DFM,0,No,No,22,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,Common,0,Yes,Yes,22,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.15,419.9,No
6371-NZYEG,Common,0,Yes,Yes,16,Yes,Cabinetry,ROAP,Yes,No,Yes,No,Yes,No,Fixed Price,No,Mailed check,64.25,1024,No
7554-NEWDD,Common,0,No,No,10,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,DFM,0,No,Yes,13,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Electronic check,56,764.55,No
0867-MKZVY,DFM,0,Yes,No,20,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,No,Electronic check,82.4,1592.35,Yes
4482-EWFMI,DFM,0,No,No,2,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.7,135.2,No
4648-YPBTM,Common,0,No,No,53,Yes,Appliance,ROAP,No,Yes,Yes,Yes,No,Yes,Fixed Price,Yes,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,DFM,0,Yes,Yes,11,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.6,233.9,No
6345-FZOQH,Common,0,Yes,No,69,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.9,1363.45,No
3376-BMGFE,DFM,0,No,No,4,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),70.9,273,Yes
5997-OPVFA,Common,0,Yes,No,72,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),89.05,6254.45,No
