,Database,Dealer,Cloud Partner,Training Provided,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn,tenure_group
35,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,No,Yes,Yes,No,Fixed Price,No,Bank transfer (automatic),99.9,7251.7,0,61 - 72
36,Common,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.7,316.9,1,1 - 12
37,DFM,0,No,No,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Credit card (automatic),74.8,3548.3,0,37 - 48
38,Common,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,106.35,3549.25,1,25 - 36
39,DFM,0,No,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),97.85,1105.4,1,1 - 12
40,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,AMC,No,Mailed check,49.55,475.7,0,1 - 12
41,DFM,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,No,No,Yes,No,Fixed Price,Yes,Credit card (automatic),69.2,4872.35,0,61 - 72
42,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.75,418.25,0,13 - 24
43,DFM,0,No,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,No,Fixed Price,Yes,Credit card (automatic),79.85,4861.45,0,61 - 72
44,DFM,0,Yes,No,Yes,Appliance,ROAP,Yes,Yes,No,Yes,Yes,No,T&M,Yes,Electronic check,76.2,981.45,0,13 - 24
45,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,84.5,3906.7,0,49 - 60
46,Common,0,No,No,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,T&M,No,Mailed check,49.25,97.0,0,1 - 12
47,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,80.65,144.15,1,1 - 12
48,Common,0,No,No,Yes,Appliance,ROAP,Yes,No,No,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),79.75,4217.8,0,49 - 60
49,DFM,0,Yes,Yes,Yes,Appliance,ROAP,Yes,No,Yes,Yes,No,No,Fixed Price,Yes,Credit card (automatic),64.15,4254.1,0,61 - 72
50,DFM,1,No,No,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Electronic check,90.25,3838.75,0,37 - 48
51,DFM,0,No,No,Yes,Cabinetry,North America,Yes,Yes,No,No,Yes,Yes,T&M,Yes,Credit card (automatic),99.1,1426.4,1,13 - 24
52,DFM,1,Yes,No,Yes,Appliance,ROAP,Yes,No,No,Yes,Yes,No,T&M,Yes,Credit card (automatic),69.5,1752.65,0,25 - 36
53,DFM,1,Yes,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Credit card (automatic),80.65,633.3,1,1 - 12
54,DFM,1,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,No,Yes,AMC,Yes,Credit card (automatic),74.85,4456.35,0,49 - 60
55,Common,1,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,95.45,1752.55,1,13 - 24
56,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,AMC,Yes,Credit card (automatic),99.65,6311.2,0,61 - 72
57,Common,1,Yes,Yes,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,AMC,Yes,Electronic check,108.45,7076.35,0,61 - 72
58,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),24.95,894.3,0,25 - 36
59,DFM,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),107.5,7853.7,0,61 - 72
60,DFM,0,Yes,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,100.5,4707.1,0,37 - 48
61,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Bank transfer (automatic),89.9,5450.7,0,49 - 60
62,Common,0,Yes,No,No,Countertop,ROAP,Yes,Yes,Yes,No,No,No,Fixed Price,No,Bank transfer (automatic),42.1,2962.0,0,61 - 72
63,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,No,AMC,Yes,Credit card (automatic),54.4,957.1,0,13 - 24
64,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,No,Electronic check,94.4,857.25,1,1 - 12
65,DFM,0,No,No,Yes,Cabinetry,ROAP,No,Yes,No,Yes,Yes,Yes,T&M,Yes,Electronic check,75.3,244.1,0,1 - 12
66,Common,0,Yes,No,Yes,Appliance,North America,No,Yes,No,No,No,No,AMC,Yes,Electronic check,78.9,3650.35,0,37 - 48
67,DFM,0,No,No,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Mailed check,79.2,2497.2,0,25 - 36
68,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.15,930.9,0,49 - 60
69,Common,0,No,No,Yes,Cabinetry,North America,Yes,No,Yes,No,No,No,T&M,Yes,Mailed check,79.85,887.35,0,1 - 12
70,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,T&M,No,Mailed check,49.05,49.05,0,1 - 12
71,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Electronic check,20.4,1090.65,0,49 - 60
72,Common,1,Yes,Yes,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),111.6,7099.0,0,61 - 72
73,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),24.25,1424.6,0,61 - 72
74,DFM,0,No,Yes,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,Yes,T&M,Yes,Bank transfer (automatic),64.5,177.4,0,1 - 12
75,DFM,1,No,No,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,AMC,No,Electronic check,110.5,6139.5,0,49 - 60
76,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,Yes,AMC,No,Credit card (automatic),55.65,2688.85,0,37 - 48
77,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,No,Mailed check,54.65,482.25,0,1 - 12
78,Common,1,No,No,Yes,Cabinetry,ROAP,Yes,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,74.75,2111.3,0,25 - 36
79,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Credit card (automatic),25.9,1216.6,0,37 - 48
80,DFM,0,No,Yes,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,79.35,79.35,1,1 - 12
81,DFM,0,Yes,Yes,No,Countertop,ROAP,Yes,No,No,No,Yes,Yes,T&M,No,Electronic check,50.55,565.35,0,1 - 12
82,DFM,0,Yes,No,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Bank transfer (automatic),75.15,496.9,1,1 - 12
83,DFM,0,No,No,Yes,Cabinetry,North America,No,Yes,Yes,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),103.8,4327.5,0,37 - 48
84,DFM,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),20.15,973.35,0,49 - 60
85,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Credit card (automatic),99.3,918.75,0,1 - 12
86,DFM,0,Yes,No,Yes,Cabinetry,ROAP,Yes,No,No,No,Yes,No,AMC,Yes,Bank transfer (automatic),62.15,2215.45,0,25 - 36
87,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.65,1057.0,0,37 - 48
88,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,19.95,927.1,0,37 - 48
89,Common,0,Yes,No,No,Countertop,ROAP,No,No,No,No,Yes,No,T&M,No,Mailed check,33.75,1009.25,0,25 - 36
90,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,Yes,No,No,No,T&M,No,Bank transfer (automatic),82.05,2570.2,0,25 - 36
91,Common,1,No,No,Yes,Cabinetry,North America,No,No,No,Yes,No,No,T&M,No,Electronic check,74.7,74.7,0,1 - 12
92,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Mailed check,84.0,5714.25,0,61 - 72
93,DFM,0,No,No,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),111.05,7107.0,0,61 - 72
94,Common,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),100.9,7459.05,0,61 - 72
95,DFM,0,No,No,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,Yes,Electronic check,78.95,927.35,1,1 - 12
96,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,No,Yes,No,No,AMC,Yes,Credit card (automatic),66.85,4748.7,0,61 - 72
97,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,21.05,113.85,1,1 - 12
98,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),21.0,1107.2,0,49 - 60
99,DFM,1,Yes,No,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,98.5,2514.5,1,25 - 36
100,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.2,20.2,0,1 - 12
101,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Electronic check,19.45,19.45,0,1 - 12
102,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,No,AMC,No,Bank transfer (automatic),95.0,3605.6,0,37 - 48
103,DFM,1,Yes,No,No,Countertop,ROAP,No,Yes,Yes,No,Yes,No,AMC,No,Bank transfer (automatic),45.55,3027.25,0,61 - 72
104,Common,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),110.0,7611.85,1,61 - 72
105,Common,0,No,No,No,Countertop,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,24.3,100.2,0,1 - 12
106,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,No,No,Yes,Yes,AMC,Yes,Electronic check,104.15,7303.05,0,61 - 72
107,DFM,0,No,No,No,Countertop,ROAP,Yes,No,No,No,No,No,AMC,No,Mailed check,30.15,927.65,0,25 - 36
108,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,AMC,No,Mailed check,94.35,3921.3,0,37 - 48
109,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.4,1363.25,0,61 - 72
110,Common,0,Yes,No,Yes,Appliance,North America,Yes,Yes,No,No,Yes,No,T&M,Yes,Electronic check,96.75,5238.9,1,49 - 60
111,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,No,No,AMC,No,Credit card (automatic),57.95,3042.25,0,49 - 60
112,DFM,0,No,No,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,No,T&M,Yes,Electronic check,91.65,3954.1,0,37 - 48
113,DFM,1,Yes,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,76.5,2868.15,1,37 - 48
114,DFM,0,Yes,Yes,No,Countertop,ROAP,No,Yes,No,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,54.6,3423.5,0,61 - 72
115,Common,0,Yes,Yes,Yes,Cabinetry,North America,Yes,Yes,No,No,Yes,No,T&M,No,Electronic check,89.85,248.4,0,1 - 12
116,DFM,0,No,No,No,Countertop,ROAP,Yes,No,No,No,No,No,Fixed Price,No,Bank transfer (automatic),31.05,1126.35,0,25 - 36
117,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,Yes,Electronic check,100.25,1064.65,1,1 - 12
118,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.65,835.15,0,37 - 48
119,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,No,Yes,No,No,T&M,Yes,Credit card (automatic),85.2,2151.6,0,25 - 36
120,DFM,0,Yes,Yes,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,AMC,Yes,Credit card (automatic),99.8,5515.45,0,49 - 60
121,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.7,112.75,0,1 - 12
122,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.4,229.55,1,1 - 12
123,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,No,No,No,No,No,T&M,No,Mailed check,50.7,350.35,0,1 - 12
124,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.85,62.9,0,1 - 12
125,Common,0,No,No,Yes,Cabinetry,North America,Yes,No,No,Yes,Yes,No,Fixed Price,Yes,Electronic check,88.95,3027.65,0,25 - 36
126,DFM,1,No,No,Yes,Appliance,North America,No,No,Yes,No,No,No,T&M,Yes,Electronic check,78.05,2135.5,1,25 - 36
127,Common,0,Yes,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),23.55,1723.95,0,61 - 72
128,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.75,19.75,0,1 - 12
129,Common,1,No,No,No,Countertop,ROAP,Yes,Yes,No,No,Yes,Yes,AMC,Yes,Electronic check,56.45,3985.35,0,61 - 72
130,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,85.95,1215.65,0,13 - 24
131,DFM,0,Yes,Yes,No,Countertop,ROAP,Yes,Yes,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),58.6,1502.65,1,25 - 36
132,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,Fixed Price,No,Bank transfer (automatic),50.55,3260.1,0,61 - 72
133,Common,0,No,No,No,Countertop,ROAP,No,No,No,No,No,Yes,T&M,Yes,Electronic check,35.45,35.45,1,1 - 12
134,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Electronic check,44.35,81.25,1,1 - 12
135,DFM,0,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),25.7,1188.2,0,37 - 48
136,DFM,0,No,No,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),75.0,1778.5,0,13 - 24
137,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.2,1277.75,0,61 - 72
138,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,19.6,1170.55,0,49 - 60
139,DFM,1,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,70.45,70.45,1,1 - 12
140,DFM,1,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),88.05,6425.65,0,61 - 72
141,DFM,0,No,No,Yes,Appliance,ROAP,Yes,No,No,Yes,No,Yes,T&M,No,Electronic check,71.15,563.65,1,1 - 12
142,DFM,0,Yes,No,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),101.05,5971.25,0,61 - 72
143,Common,0,No,No,Yes,Appliance,North America,Yes,Yes,No,No,No,No,AMC,Yes,Credit card (automatic),84.3,5289.05,0,61 - 72
144,Common,1,Yes,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),23.95,1756.2,0,61 - 72
145,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,No,Yes,Yes,No,Fixed Price,Yes,Credit card (automatic),99.05,6416.7,0,61 - 72
146,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,19.6,61.35,0,1 - 12
147,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Electronic check,45.65,45.65,1,1 - 12
148,Common,0,No,Yes,Yes,Cabinetry,ROAP,No,Yes,Yes,No,Yes,No,AMC,No,Credit card (automatic),64.5,1929.95,0,25 - 36
149,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,No,Yes,T&M,Yes,Mailed check,69.5,1071.4,0,13 - 24
150,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,No,No,Yes,Yes,Yes,T&M,Yes,Electronic check,68.55,564.35,0,1 - 12
151,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,No,Mailed check,95.0,655.5,1,1 - 12
152,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,AMC,Yes,Credit card (automatic),108.15,7930.55,0,61 - 72
153,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,86.1,5215.25,0,61 - 72
154,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.7,113.5,0,1 - 12
155,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,No,No,No,No,Yes,T&M,Yes,Bank transfer (automatic),80.9,1152.8,0,13 - 24
156,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Bank transfer (automatic),84.15,1821.95,0,13 - 24
157,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.15,419.9,0,13 - 24
158,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,No,Yes,No,Yes,No,Fixed Price,No,Mailed check,64.25,1024.0,0,13 - 24
159,Common,0,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),25.7,251.6,0,1 - 12
160,DFM,0,No,Yes,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Electronic check,56.0,764.55,0,13 - 24
161,DFM,0,Yes,No,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,No,Electronic check,82.4,1592.35,1,13 - 24
162,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.7,135.2,0,1 - 12
163,Common,0,No,No,Yes,Appliance,ROAP,No,Yes,Yes,Yes,No,Yes,Fixed Price,Yes,Bank transfer (automatic),73.9,3958.25,0,49 - 60
164,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.6,233.9,0,1 - 12
165,Common,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.9,1363.45,0,61 - 72
166,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),70.9,273.0,1,1 - 12
167,Common,0,Yes,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),89.05,6254.45,0,61 - 72
168,Common,1,Yes,No,No,Countertop,ROAP,No,Yes,Yes,No,No,Yes,T&M,Yes,Electronic check,45.3,2651.2,1,49 - 60
169,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Electronic check,20.4,321.4,0,13 - 24
170,Common,0,Yes,No,Yes,Cabinetry,North America,Yes,No,Yes,Yes,No,No,AMC,Yes,Bank transfer (automatic),84.25,3539.25,0,37 - 48
171,DFM,0,Yes,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,T&M,Yes,Electronic check,104.4,242.8,1,1 - 12
172,Common,0,Yes,No,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Mailed check,81.95,1181.75,0,13 - 24
173,DFM,0,Yes,No,Yes,Cabinetry,North America,No,No,Yes,No,Yes,Yes,AMC,Yes,Bank transfer (automatic),94.85,5000.2,1,49 - 60
174,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),20.55,654.55,0,25 - 36
